R_fighter;B_fighter;Winner
Stephen Thompson;Geoff Neal;Stephen Thompson
Jose Aldo;Marlon Vera;Jose Aldo
Anthony Pettis;Alex Morono;Anthony Pettis
Marcin Tybura;Greg Hardy;Marcin Tybura
Michel Pereira;Khaos Williams;Michel Pereira
Gillian Robertson;Taila Santos;Taila Santos
Jimmy Flick;Cody Durden;Jimmy Flick
Tafon Nchukwi;Jamie Pickett;Tafon Nchukwi
Christos Giagos;Carlton Minus;Christos Giagos
Renato Moicano;Rafael Fiziev;Rafael Fiziev
Kevin Holland;Jacare Souza;Kevin Holland
Mackenzie Dern;Virna Jandiroba;Mackenzie Dern
Tony Ferguson;Charles Oliveira;Charles Oliveira
Deiveson Figueiredo;Brandon Moreno;
Junior Dos Santos;Ciryl Gane;Ciryl Gane
Gavin Tucker;Billy Quarantillo;Gavin Tucker
Cub Swanson;Daniel Pineda;Cub Swanson
Tecia Torres;Sam Hughes;Tecia Torres
Chase Hooper;Peter Barrett;Chase Hooper
Gabriel Benitez;Justin Jaynes;Gabriel Benitez
Roman Dolidze;John Allan;Roman Dolidze
Ilia Topuria;Damon Jackson;Ilia Topuria
Louis Smolka;Jose Quinonez;Louis Smolka
Gian Villante;Jake Collier;Jake Collier
Ovince Saint Preux;Jamahal Hill;Jamahal Hill
Matt Wiman;Jordan Leavitt;Jordan Leavitt
Jack Hermansson;Marvin Vettori;Marvin Vettori
Ashlee Evans-Smith;Norma Dumont;Norma Dumont
Jonathan Pearce;Kai Kamaka;Jonathan Pearce
Miguel Baeza;Takashi Sato;Miguel Baeza
Josh Parisian;Parker Porter;Parker Porter
Anthony Smith;Devin Clark;Anthony Smith
Spike Carlyle;Bill Algeo;Bill Algeo
Martin Day;Anderson Dos Santos;Anderson Dos Santos
Luke Sanders;Nate Maness;Nate Maness
Gina Mazany;Rachael Ostovich;Gina Mazany
Su Mudaerji;Malcolm Gordon;Su Mudaerji
Brandon Moreno;Brandon Royval;Brandon Moreno
Joaquin Buckley;Jordan Wright;Joaquin Buckley
Katlyn Chookagian;Cynthia Calvillo;Katlyn Chookagian
Antonina Shevchenko;Ariane Lipski;Antonina Shevchenko
Valentina Shevchenko;Jennifer Maia;Valentina Shevchenko
Deiveson Figueiredo;Alex Perez;Deiveson Figueiredo
Mauricio Rua;Paul Craig;Paul Craig
Mike Perry;Tim Means;Tim Means
Alan Jouban;Jared Gooden;Alan Jouban
Daniel Rodriguez;Nicolas Dalby;Nicolas Dalby
Louis Cosce;Sasha Palatnikov;Sasha Palatnikov
Kyle Daukaus;Dustin Stoltzfus;Kyle Daukaus
Ashley Yoder;Miranda Granger;Ashley Yoder
Kay Hansen;Cory McKenna;Cory McKenna
Randa Markos;Kanako Murata;Kanako Murata
Brendan Allen;Sean Strickland;Sean Strickland
Geraldo de Freitas;Tony Gravely;Tony Gravely
Alex Morono;Rhys McKee;Alex Morono
Abdul Razak Alhassan;Khaos Williams;Khaos Williams
Paul Felder;Rafael Dos Anjos;Rafael Dos Anjos
Don'Tale Mayes;Roque Martinez;Don'Tale Mayes
Thiago Santos;Glover Teixeira;Glover Teixeira
Andrei Arlovski;Tanner Boser;Andrei Arlovski
Alexandr Romanov;Marcos Rogerio de Lima;Alexandr Romanov
Claudia Gadelha;Yan Xiaonan;Yan Xiaonan
Darren Elkins;Eduardo Garagorri;Darren Elkins
Giga Chikadze;Jamey Simmons;Giga Chikadze
Raoni Barcelos;Khalid Taha;Raoni Barcelos
Trevin Giles;Bevon Lewis;Trevin Giles
Gustavo Lopez;Anthony Birchak;Gustavo Lopez
Max Griffin;Ramiz Brahimaj;Max Griffin
Chris Gruetzemacher;Alexander Hernandez;Alexander Hernandez
Adrian Yanez;Victor Rodriguez;Adrian Yanez
Maurice Greene;Greg Hardy;Greg Hardy
Sean Strickland;Jack Marshman;Sean Strickland
Bobby Green;Thiago Moises;Thiago Moises
Kevin Holland;Charlie Ontiveros;Kevin Holland
Uriah Hall;Anderson Silva;Uriah Hall
Bryce Mitchell;Andre Fili;Bryce Mitchell
Dustin Jacoby;Justin Ledet;Dustin Jacoby
Cole Williams;Jason Witt;Jason Witt
Miles Johns;Kevin Natividad;Miles Johns
Jacob Malkoun;Phil Hawes;Phil Hawes
Alexander Volkov;Walt Harris;Alexander Volkov
Magomed Ankalaev;Ion Cutelaba;Magomed Ankalaev
Stefan Struve;Tai Tuivasa;Tai Tuivasa
Robert Whittaker;Jared Cannonier;Robert Whittaker
Lauren Murphy;Liliya Shakirova;Lauren Murphy
Khabib Nurmagomedov;Justin Gaethje;Khabib Nurmagomedov
Nathaniel Wood;Casey Kenney;Casey Kenney
Joel Alvarez;Alexander Yakovlev;Joel Alvarez
Liana Jojua;Miranda Maverick;Miranda Maverick
Da-Un Jung;Sam Alvey;
Alex Oliveira;Shavkat Rakhmonov;Shavkat Rakhmonov
Katlyn Chookagian;Jessica Andrade;Jessica Andrade
Thomas Almeida;Jonathan Martinez;Jonathan Martinez
Jimmy Crute;Modestas Bukauskas;Jimmy Crute
Mateusz Gamrot;Guram Kutateladze;Guram Kutateladze
Junyong Park;John Phillips;Junyong Park
Gillian Robertson;Poliana Botelho;Gillian Robertson
Claudio Silva;James Krause;James Krause
Brian Ortega;Chan Sung Jung;Brian Ortega
Gadzhimurad Antigulov;Maxim Grishin;Maxim Grishin
Said Nurmagomedov;Mark Striegl;Said Nurmagomedov
Jamie Mullarkey;Fares Ziam;Fares Ziam
Marlon Moraes;Cory Sandhagen;Cory Sandhagen
Tom Breese;KB Bhullar;Tom Breese
Chris Daukaus;Rodrigo Nascimento;Chris Daukaus
Markus Perez;Dricus Du Plessis;Dricus Du Plessis
Ben Rothwell;Marcin Tybura;Marcin Tybura
Youssef Zalal;Ilia Topuria;Ilia Topuria
Tom Aspinall;Alan Baudot;Tom Aspinall
Edson Barboza;Makwan Amirkhani;Edson Barboza
Impa Kasanganay;Joaquin Buckley;Joaquin Buckley
Giga Chikadze;Omar Morales;Giga Chikadze
Ali AlQaisi;Tony Kelley;Tony Kelley
Tracy Cortez;Stephanie Egger;Tracy Cortez
Bruno Silva;Tagir Ulanbekov;Tagir Ulanbekov
Carlos Condit;Court McGee;Carlos Condit
Dequan Townsend;Dusko Todorovic;Dusko Todorovic
Charles Jourdain;Josh Culibao;
Germaine de Randamie;Julianna Pena;Germaine de Randamie
Kyler Phillips;Cameron Else;Kyler Phillips
Holly Holm;Irene Aldana;Holly Holm
Yorgan De Castro;Carlos Felipe;Carlos Felipe
Jordan Williams;Nassourdine Imavov;Nassourdine Imavov
Loma Lookboonmee;Jinh Yu Frey;Loma Lookboonmee
Casey Kenney;Heili Alateng;Casey Kenney
Luigi Vendramini;Jessin Ayari;Luigi Vendramini
Ketlen Vieira;Sijara Eubanks;Ketlen Vieira
