R_fighter;B_fighter;Winner
Alistair Overeem;Curtis Blaydes;Curtis Blaydes
Robert Whittaker;Yoel Romero;Robert Whittaker
CM Punk;Mike Jackson;
Holly Holm;Megan Anderson;Holly Holm
Rashad Coulter;Chris de la Rocha;Chris de la Rocha
Rashad Evans;Anthony Smith;Anthony Smith
Mike Santiago;Dan Ige;Dan Ige
Clay Guida;Charles Oliveira;Charles Oliveira
Joseph Benavidez;Sergio Pettis;Sergio Pettis
Jake Ellenberger;Ben Saunders;Ben Saunders
Jimmie Rivera;Marlon Moraes;Marlon Moraes
Nik Lentz;David Teymur;David Teymur
Sijara Eubanks;Lauren Murphy;Sijara Eubanks
Gian Villante;Sam Alvey;Sam Alvey
Walt Harris;Daniel Spitz;Walt Harris
Julio Arce;Daniel Teymur;Julio Arce
Gregor Gillespie;Vinc Pichel;Gregor Gillespie
Jarred Brooks;Jose Torres;Jose Torres
Desmond Green;Gleison Tibau;Desmond Green
Belal Muhammad;Chance Rencountre;Belal Muhammad
Johnny Eduardo;Nathaniel Wood;Nathaniel Wood
Neil Magny;Craig White;Neil Magny
Jason Knight;Makwan Amirkhani;Makwan Amirkhani
Lina Lansberg;Gina Mazany;Lina Lansberg
Eric Spicely;Darren Stewart;Darren Stewart
Stephen Thompson;Darren Till;Darren Till
Arnold Allen;Mads Burnell;Arnold Allen
Claudio Silva;Nordine Taleb;Claudio Silva
Daniel Kelly;Tom Breese;Tom Breese
Brad Scott;Carlo Pedersoli Jr.;Carlo Pedersoli Jr.
Gillian Robertson;Molly McCann;Gillian Robertson
Elias Theodorou;Trevor Smith;Elias Theodorou
Jared Cannonier;Dominick Reyes;Dominick Reyes
Alexa Grasso;Tatiana Suarez;Tatiana Suarez
Diego Rivas;Guido Cannetti;Guido Cannetti
Zak Cummings;Michel Prazeres;Michel Prazeres
Veronica Macedo;Andrea Lee;Andrea Lee
Demian Maia;Kamaru Usman;Kamaru Usman
Vicente Luque;Chad Laprise;Vicente Luque
Brandon Moreno;Alexandre Pantoja;Alexandre Pantoja
Poliana Botelho;Syuri Kondo;Poliana Botelho
Gabriel Benitez;Humberto Bandenay;Gabriel Benitez
Enrique Barzola;Brandon Davis;Enrique Barzola
Claudio Puelles;Felipe Silva;Claudio Puelles
Henry Briones;Frankie Saenz;Frankie Saenz
Davi Ramos;Nick Hein;Davi Ramos
Jacare Souza;Kelvin Gastelum;Kelvin Gastelum
Amanda Nunes;Raquel Pennington;Amanda Nunes
Cezar Ferreira;Karl Roberson;Cezar Ferreira
Mackenzie Dern;Amanda Cooper;Mackenzie Dern
John Lineker;Brian Kelleher;John Lineker
Vitor Belfort;Lyoto Machida;Lyoto Machida
Aleksei Oleinik;Junior Albini;Aleksei Oleinik
Elizeu Zaleski dos Santos;Sean Strickland;Elizeu Zaleski dos Santos
Alberto Mina;Ramazan Emeev;Ramazan Emeev
Thales Leites;Jack Hermansson;Jack Hermansson
Warlley Alves;Sultan Aliev;Warlley Alves
Markus Perez;James Bochnovic;Markus Perez
Merab Dvalishvili;Ricky Simon;Ricky Simon
Justin Willis;Chase Sherman;Justin Willis
Frankie Edgar;Cub Swanson;Frankie Edgar
David Branch;Thiago Santos;David Branch
Ryan LaFlare;Alex Garcia;Ryan LaFlare
Edson Barboza;Kevin Lee;Kevin Lee
Jim Miller;Dan Hooker;Dan Hooker
Aljamain Sterling;Brett Johns;Aljamain Sterling
Siyar Bahadurzada;Luan Chagas;Siyar Bahadurzada
Corey Anderson;Patrick Cummins;Corey Anderson
Anthony Rocco Martin;Keita Nakamura;Anthony Rocco Martin
Michelle Waterson;Cortney Casey;Michelle Waterson
Dustin Poirier;Justin Gaethje;Dustin Poirier
Wilson Reis;John Moraga;John Moraga
Israel Adesanya;Marvin Vettori;Israel Adesanya
Krzysztof Jotko;Brad Tavares;Brad Tavares
Carlos Condit;Alex Oliveira;Alex Oliveira
Muslim Salikhov;Ricky Rainey;Muslim Salikhov
Tim Boetsch;Antonio Carlos Junior;Antonio Carlos Junior
Gilbert Burns;Dan Moret;Gilbert Burns
Shana Dobson;Lauren Mueller;Lauren Mueller
Matthew Lopez;Alejandro Perez;Alejandro Perez
Dhiego Lima;Yushin Okami;Yushin Okami
Luke Sanders;Patrick Williams;Luke Sanders
Arjan Bhullar;Adam Wieczorek;Adam Wieczorek
Zabit Magomedsharipov;Kyle Bochniak;Zabit Magomedsharipov
Karolina Kowalkiewicz;Felice Herrig;Karolina Kowalkiewicz
Renato Moicano;Calvin Kattar;Renato Moicano
Joe Lauzon;Chris Gruetzemacher;Chris Gruetzemacher
Rose Namajunas;Joanna Jedrzejczyk;Rose Namajunas
Khabib Nurmagomedov;Al Iaquinta;Khabib Nurmagomedov
Bec Rawlings;Ashlee Evans-Smith;Ashlee Evans-Smith
Evan Dunham;Olivier Aubin-Mercier;Olivier Aubin-Mercier
Devin Clark;Mike Rodriguez;Devin Clark
Danny Roberts;Oliver Enkamp;Danny Roberts
John Phillips;Charles Byrd;Charles Byrd
Tom Duquesnoy;Terrion Ware;Tom Duquesnoy
Paul Craig;Magomed Ankalaev;Paul Craig
Leon Edwards;Peter Sobotta;Leon Edwards
Jimi Manuwa;Jan Blachowicz;Jan Blachowicz
Fabricio Werdum;Alexander Volkov;Alexander Volkov
Danny Henry;Hakeem Dawodu;Danny Henry
Stevie Ray;Kajan Johnson;Kajan Johnson
Mark Godbeer;Dmitry Sosnovskiy;Dmitry Sosnovskiy
Stefan Struve;Andrei Arlovski;Andrei Arlovski
Ashley Yoder;Mackenzie Dern;Mackenzie Dern
Frankie Edgar;Brian Ortega;Brian Ortega
Cristiane Justino;Yana Kunitskaya;Cristiane Justino
Beneil Dariush;Alexander Hernandez;Alexander Hernandez
Cat Zingano;Ketlen Vieira;Ketlen Vieira
John Dodson;Pedro Munhoz;John Dodson
Sean O'Malley;Andre Soukhamthath;Sean O'Malley
Mike Pyle;Zak Ottow;Zak Ottow
CB Dollaway;Hector Lombard;CB Dollaway
Bryan Caraway;Cody Stamann;Cody Stamann
Jordan Johnson;Adam Milstead;Jordan Johnson
Jessica Andrade;Tecia Torres;Jessica Andrade
Josh Emmett;Jeremy Stephens;Jeremy Stephens
Renan Barao;Brian Kelleher;Brian Kelleher
Sara McMann;Marion Reneau;Marion Reneau
Ovince Saint Preux;Ilir Latifi;Ilir Latifi
Mike Perry;Max Griffin;Max Griffin
Ben Saunders;Alan Jouban;Alan Jouban
Maryna Moroz;Angela Hill;Angela Hill
Albert Morales;Manny Bermudez;Manny Bermudez
Sam Alvey;Marcin Prachnio;Sam Alvey
Rani Yahya;Russell Doane;Rani Yahya
Eric Shelton;Alex Perez;Alex Perez
Geoff Neal;Brian Camozzi;Geoff Neal
Steven Peterson;Brandon Davis;Brandon Davis
Derrick Lewis;Marcin Tybura;Derrick Lewis
Thiago Alves;Curtis Millender;Curtis Millender
Jared Gordon;Diego Ferreira;Diego Ferreira
Sage Northcutt;Thibault Gouti;Sage Northcutt
James Vick;Francisco Trinaldo;James Vick
Donald Cerrone;Yancy Medeiros;Donald Cerrone
Oskar Piechota;Tim Williams;Oskar Piechota
Robert Sanchez;Joby Sanchez;Robert Sanchez
Joshua Burkman;Alex Morono;Alex Morono
Sarah Moras;Lucie Pudilova;Lucie Pudilova
Alexander Volkanovski;Jeremy Kennedy;Alexander Volkanovski
Rob Wilkinson;Israel Adesanya;Israel Adesanya
Mark Hunt;Curtis Blaydes;Curtis Blaydes
Tyson Pedro;Saparbeg Safarov;Tyson Pedro
Damien Brown;Dong Hyun Ma;Dong Hyun Ma
Tai Tuivasa;Cyril Asker;Tai Tuivasa
Yoel Romero;Luke Rockhold;Yoel Romero
Jake Matthews;Li Jingliang;Jake Matthews
Luke Jumeau;Daichi Abe;Luke Jumeau
Ross Pearson;Mizuto Hirota;Ross Pearson
Teruto Ishihara;Jose Quinonez;Jose Quinonez
Jussier Formiga;Ben Nguyen;Jussier Formiga
Timothy Johnson;Marcelo Golm;Timothy Johnson
Michel Prazeres;Desmond Green;Michel Prazeres
Thiago Santos;Anthony Smith;Thiago Santos
Valentina Shevchenko;Priscila Cachoeira;Valentina Shevchenko
Sergio Moraes;Tim Means;Sergio Moraes
Douglas Silva de Andrade;Marlon Vera;Douglas Silva de Andrade
Alan Patrick;Damir Hadzovic;Alan Patrick
Lyoto Machida;Eryk Anders;Lyoto Machida
Maia Stevenson;Polyana Viana;Polyana Viana
Iuri Alcantara;Joe Soto;Iuri Alcantara
Deiveson Figueiredo;Joseph Morales;Deiveson Figueiredo
Jordan Rinaldi;Gregor Gillespie;Gregor Gillespie
Jacare Souza;Derek Brunson;Jacare Souza
Mirsad Bektic;Godofredo Pepey;Mirsad Bektic
Dennis Bermudez;Andre Fili;Andre Fili
Katlyn Chookagian;Mara Romero Borella;Katlyn Chookagian
Drew Dober;Frank Camacho;Drew Dober
Randa Markos;Juliana Lima;Randa Markos
Erik Koch;Bobby Green;Bobby Green
Niko Price;George Sullivan;Niko Price
Vinc Pichel;Joaquim Silva;Vinc Pichel
Justine Kish;Ji Yeon Kim;Ji Yeon Kim
Austin Arnett;Cory Sandhagen;Cory Sandhagen
Gian Villante;Francimar Barroso;Gian Villante
Calvin Kattar;Shane Burgos;Calvin Kattar
Stipe Miocic;Francis Ngannou;Stipe Miocic
Dustin Ortiz;Alexandre Pantoja;Dustin Ortiz
Daniel Cormier;Volkan Oezdemir;Daniel Cormier
Thomas Almeida;Rob Font;Rob Font
Kyle Bochniak;Brandon Davis;Kyle Bochniak
Sabah Homasi;Abdul Razak Alhassan;Abdul Razak Alhassan
Matt Bessette;Enrique Barzola;Enrique Barzola
Dan Ige;Julio Arce;Julio Arce
Islam Makhachev;Gleison Tibau;Islam Makhachev
Matt Frevola;Marco Polo Reyes;Marco Polo Reyes
Kyung Ho Kang;Guido Cannetti;Kyung Ho Kang
James Krause;Alex White;James Krause
Darren Elkins;Michael Johnson;Darren Elkins
Kamaru Usman;Emil Meek;Kamaru Usman
Jeremy Stephens;Dooho Choi;Jeremy Stephens
Paige VanZant;Jessica-Rose Clark;Jessica-Rose Clark
Talita Bernardo;Irene Aldana;Irene Aldana
Mads Burnell;Mike Santiago;Mads Burnell
Danielle Taylor;JJ Aldrich;JJ Aldrich
Kalindra Faria;Jessica Eye;Jessica Eye
Khabib Nurmagomedov;Edson Barboza;Khabib Nurmagomedov
Cristiane Justino;Holly Holm;Cristiane Justino
Dan Hooker;Marc Diakiese;Dan Hooker
Marvin Vettori;Omari Akhmedov;
Cynthia Calvillo;Carla Esparza;Carla Esparza
Myles Jury;Rick Glenn;Myles Jury
Khalil Rountree Jr.;Michal Oleksiejczuk;
Carlos Condit;Neil Magny;Neil Magny
Louis Smolka;Matheus Nicolau;Matheus Nicolau
Tim Elliott;Mark De La Rosa;Tim Elliott
Julian Marquez;Darren Stewart;Julian Marquez
Ricardo Lamas;Josh Emmett;Josh Emmett
Glover Teixeira;Misha Cirkunov;Glover Teixeira
Chad Laprise;Galore Bofando;Chad Laprise
Robbie Lawler;Rafael Dos Anjos;Rafael Dos Anjos
Nordine Taleb;Danny Roberts;Nordine Taleb
Jared Cannonier;Jan Blachowicz;Jan Blachowicz
Santiago Ponzinibbio;Mike Perry;Santiago Ponzinibbio
Alessio Di Chirico;Oluwale Bamgbose;Alessio Di Chirico
John Makdessi;Abel Trujillo;John Makdessi
Jordan Mein;Erick Silva;Jordan Mein
Luke Sanders;Andre Soukhamthath;Andre Soukhamthath
Eryk Anders;Markus Perez;Eryk Anders
Jason Knight;Gabriel Benitez;Gabriel Benitez
Albert Morales;Benito Lopez;Benito Lopez
Scott Holtzman;Darrell Horcher;Scott Holtzman
Marlon Moraes;Aljamain Sterling;Marlon Moraes
Cub Swanson;Brian Ortega;Brian Ortega
Alexis Davis;Liz Carmouche;Alexis Davis
Frankie Saenz;Merab Dvalishvili;Frankie Saenz
Chris Gruetzemacher;Davi Ramos;Davi Ramos
Alejandro Perez;Iuri Alcantara;Alejandro Perez
Carls John De Tomas;Alex Perez;Alex Perez
Antonio Braga Neto;Trevin Giles;Trevin Giles
Henry Cejudo;Sergio Pettis;Henry Cejudo
David Teymur;Drakkar Klose;David Teymur
Alistair Overeem;Francis Ngannou;Francis Ngannou
Tecia Torres;Michelle Waterson;Tecia Torres
Max Holloway;Jose Aldo;Max Holloway
Charles Oliveira;Paul Felder;Paul Felder
Alex Oliveira;Yancy Medeiros;Yancy Medeiros
Eddie Alvarez;Justin Gaethje;Eddie Alvarez
Sabah Homasi;Abdul Razak Alhassan;Abdul Razak Alhassan
Jeremy Kimball;Dominick Reyes;Dominick Reyes
Justin Willis;Allen Crowder;Justin Willis
Amanda Cooper;Angela Magana;Amanda Cooper
Felice Herrig;Cortney Casey;Felice Herrig
Eric Spicely;Gerald Meerschaert;Gerald Meerschaert
Barb Honchak;Lauren Murphy;Lauren Murphy
Christina Marks;Montana De La Rosa;Montana De La Rosa
Andrew Sanchez;Ryan Janes;Ryan Janes
DeAnna Bennett;Melinda Fabian;
Nicco Montano;Roxanne Modafferi;Nicco Montano
Sean O'Malley;Terrion Ware;Sean O'Malley
Joe Soto;Brett Johns;Brett Johns
Ariel Beck;Shana Dobson;Shana Dobson
Karine Gevorgyan;Rachael Ostovich;Rachael Ostovich
Gillian Robertson;Emily Whitmire;Gillian Robertson
Muslim Salikhov;Alex Garcia;Alex Garcia
Michael Bisping;Kelvin Gastelum;Kelvin Gastelum
Song Yadong;Bharat Kandare;Song Yadong
Zabit Magomedsharipov;Sheymon Moraes;Zabit Magomedsharipov
Kailin Curran;Yan Xiaonan;Yan Xiaonan
Song Kenan;Bobby Nash;Song Kenan
Li Jingliang;Zak Ottow;Li Jingliang
Wang Guan;Alex Caceres;Wang Guan
Wu Yanan;Gina Mazany;Gina Mazany
Cyril Asker;Hu Yaozong;Cyril Asker
Chase Sherman;Shamil Abdurakhimov;Shamil Abdurakhimov
Wuliji Buren;Rolando Dy;Rolando Dy
Elias Theodorou;Daniel Kelly;Elias Theodorou
Bec Rawlings;Jessica-Rose Clark;Jessica-Rose Clark
Jake Matthews;Bojan Velickovic;Jake Matthews
Tim Means;Belal Muhammad;Belal Muhammad
Alexander Volkanovski;Shane Young;Alexander Volkanovski
Ryan Benoit;Ashkan Mokhtarian;Ryan Benoit
Fabricio Werdum;Marcin Tybura;Fabricio Werdum
Nik Lentz;Will Brooks;Nik Lentz
Rashad Coulter;Tai Tuivasa;Tai Tuivasa
Damien Brown;Frank Camacho;Frank Camacho
Jenel Lausa;Eric Shelton;Eric Shelton
Anthony Hamilton;Adam Wieczorek;Adam Wieczorek
Alex Chambers;Nadia Kassem;Nadia Kassem
John Dodson;Marlon Moraes;Marlon Moraes
Raphael Assuncao;Matthew Lopez;Raphael Assuncao
Nate Marquardt;Cezar Ferreira;Cezar Ferreira
Matt Brown;Diego Sanchez;Matt Brown
Tatiana Suarez;Viviane Pereira;Tatiana Suarez
Dustin Poirier;Anthony Pettis;Dustin Poirier
Joe Lauzon;Clay Guida;Clay Guida
Junior Albini;Andrei Arlovski;Andrei Arlovski
Darren Stewart;Karl Roberson;Karl Roberson
Angela Hill;Nina Ansaroff;Nina Ansaroff
Sage Northcutt;Michel Quinones;Sage Northcutt
Court McGee;Sean Strickland;Sean Strickland
Jake Collier;Marcel Fortuna;Jake Collier
Joanna Jedrzejczyk;Rose Namajunas;Rose Namajunas
Ovince Saint Preux;Corey Anderson;Ovince Saint Preux
Walt Harris;Mark Godbeer;Mark Godbeer
Johny Hendricks;Paulo Costa;Paulo Costa
Cody Garbrandt;TJ Dillashaw;TJ Dillashaw
James Vick;Joe Duffy;James Vick
Stephen Thompson;Jorge Masvidal;Stephen Thompson
Michael Bisping;Georges St-Pierre;Georges St-Pierre
Aleksei Oleinik;Curtis Blaydes;Curtis Blaydes
Randy Brown;Mickey Gall;Randy Brown
Aiemann Zahabi;Ricardo Ramos;Ricardo Ramos
Thiago Santos;Jack Hermansson;Thiago Santos
Francisco Trinaldo;Jim Miller;Francisco Trinaldo
Antonio Carlos Junior;Jack Marshman;Antonio Carlos Junior
Vicente Luque;Niko Price;Vicente Luque
Derek Brunson;Lyoto Machida;Derek Brunson
Pedro Munhoz;Rob Font;Pedro Munhoz
Demian Maia;Colby Covington;Colby Covington
John Lineker;Marlon Vera;John Lineker
Hacran Dias;Jared Gordon;Jared Gordon
Deiveson Figueiredo;Jarred Brooks;Deiveson Figueiredo
Elizeu Zaleski dos Santos;Max Griffin;Elizeu Zaleski dos Santos
Marcelo Golm;Christian Colombo;Marcelo Golm
Jan Blachowicz;Devin Clark;Jan Blachowicz
Artem Lobov;Andre Fili;Andre Fili
Karolina Kowalkiewicz;Jodie Esquibel;Karolina Kowalkiewicz
Donald Cerrone;Darren Till;Darren Till
Sam Alvey;Ramazan Emeev;Ramazan Emeev
Oskar Piechota;Jonathan Wilson;Oskar Piechota
Damian Stasiak;Brian Kelleher;Brian Kelleher
Marcin Held;Nasrat Haqparast;Marcin Held
Salim Touahri;Warlley Alves;Warlley Alves
Felipe Arantes;Josh Emmett;Josh Emmett
Lina Lansberg;Aspen Ladd;Aspen Ladd
Mara Romero Borella;Kalindra Faria;Mara Romero Borella
Tom Duquesnoy;Cody Stamann;Cody Stamann
Fabricio Werdum;Walt Harris;Fabricio Werdum
Lando Vannata;Bobby Green;
Beneil Dariush;Evan Dunham;
Demetrious Johnson;Ray Borg;Demetrious Johnson
Pearl Gonzalez;Poliana Botelho;Poliana Botelho
Tony Ferguson;Kevin Lee;Tony Ferguson
John Moraga;Bibulatov Magomed;John Moraga
Matt Schnell;Marco Beltran;Matt Schnell
Thales Leites;Brad Tavares;Brad Tavares
Takanori Gomi;Dong Hyun Ma;Dong Hyun Ma
Teruto Ishihara;Rolando Dy;Teruto Ishihara
Jussier Formiga;Yuta Sasaki;Jussier Formiga
Syuri Kondo;Chan-Mi Jeon;Syuri Kondo
Claudia Gadelha;Jessica Andrade;Jessica Andrade
Keita Nakamura;Alex Morono;Keita Nakamura
Gokhan Saki;Henrique da Silva;Gokhan Saki
Ovince Saint Preux;Yushin Okami;Ovince Saint Preux
Shinsho Anzai;Luke Jumeau;Shinsho Anzai
Daichi Abe;Hyun Gyu Lim;Daichi Abe
Hector Lombard;Anthony Smith;Anthony Smith
Mike Perry;Alex Reyes;Mike Perry
Kamaru Usman;Sergio Moraes;Kamaru Usman
Gregor Gillespie;Jason Gonzalez;Gregor Gillespie
Anthony Hamilton;Daniel Spitz;Daniel Spitz
Anthony Rocco Martin;Olivier Aubin-Mercier;Olivier Aubin-Mercier
Luke Rockhold;David Branch;Luke Rockhold
Justin Ledet;Azunna Anyanwu;Justin Ledet
Krzysztof Jotko;Uriah Hall;Uriah Hall
Jason Saggo;Gilbert Burns;Gilbert Burns
Neil Magny;Rafael Dos Anjos;Rafael Dos Anjos
Sara McMann;Ketlen Vieira;Ketlen Vieira
Ilir Latifi;Tyson Pedro;Ilir Latifi
Gavin Tucker;Rick Glenn;Rick Glenn
Henry Cejudo;Wilson Reis;Henry Cejudo
Amanda Nunes;Valentina Shevchenko;Amanda Nunes
Sarah Moras;Ashlee Evans-Smith;Sarah Moras
Jeremy Stephens;Gilbert Melendez;Jeremy Stephens
Mitch Clarke;Alex White;Alex White
Kajan Johnson;Adriano Martins;Kajan Johnson
Luis Henrique;Arjan Bhullar;Arjan Bhullar
Marion Reneau;Talita Bernardo;Marion Reneau
Darren Till;Bojan Velickovic;Darren Till
Siyar Bahadurzada;Rob Wilkinson;Siyar Bahadurzada
Michel Prazeres;Mads Burnell;Michel Prazeres
Rustam Khabilov;Desmond Green;Rustam Khabilov
Alexander Volkov;Stefan Struve;Alexander Volkov
Leon Edwards;Bryan Barberena;Leon Edwards
Mairbek Taisumov;Felipe Silva;Mairbek Taisumov
Francimar Barroso;Aleksandar Rakic;Aleksandar Rakic
Mike Santiago;Zabit Magomedsharipov;Zabit Magomedsharipov
Thibault Gouti;Andrew Holbrook;Thibault Gouti
Bojan Mihajlovic;Abdul-Kerim Edilov;Abdul-Kerim Edilov
Dustin Ortiz;Hector Sandoval;Dustin Ortiz
Alejandro Perez;Andre Soukhamthath;Alejandro Perez
Alan Jouban;Niko Price;Niko Price
Martin Bravo;Humberto Bandenay;Humberto Bandenay
Randa Markos;Alexa Grasso;Alexa Grasso
Brad Scott;Jack Hermansson;Jack Hermansson
Sergio Pettis;Brandon Moreno;Sergio Pettis
Sam Alvey;Rashad Evans;Sam Alvey
Henry Briones;Rani Yahya;Rani Yahya
Alvaro Herrera Mendoza;Jordan Rinaldi;Jordan Rinaldi
Joseph Morales;Robert Sanchez;Joseph Morales
Jose Quinonez;Diego Rivas;Jose Quinonez
Jimi Manuwa;Volkan Oezdemir;Volkan Oezdemir
Tyron Woodley;Demian Maia;Tyron Woodley
Ricardo Lamas;Jason Knight;Ricardo Lamas
Daniel Cormier;Jon Jones;
Robbie Lawler;Donald Cerrone;Robbie Lawler
Cristiane Justino;Tonya Evinger;Cristiane Justino
Brian Ortega;Renato Moicano;Brian Ortega
Aljamain Sterling;Renan Barao;Aljamain Sterling
Kailin Curran;Aleksandra Albu;Aleksandra Albu
Andre Fili;Calvin Kattar;Calvin Kattar
Eric Shelton;Jarred Brooks;Jarred Brooks
Joshua Burkman;Drew Dober;Drew Dober
Dennis Bermudez;Darren Elkins;Darren Elkins
Jimmie Rivera;Thomas Almeida;Jimmie Rivera
Lyman Good;Elizeu Zaleski dos Santos;Elizeu Zaleski dos Santos
Damian Grabowski;Chase Sherman;Chase Sherman
Ryan LaFlare;Alex Oliveira;Alex Oliveira
Rafael Natal;Eryk Anders;Eryk Anders
Patrick Cummins;Gian Villante;Patrick Cummins
Chris Weidman;Kelvin Gastelum;Chris Weidman
Brian Kelleher;Marlon Vera;Marlon Vera
Shane Burgos;Godofredo Pepey;Shane Burgos
Kyle Bochniak;Jeremy Kennedy;Jeremy Kennedy
Timothy Johnson;Junior Albini;Junior Albini
Frankie Perez;Chris Wade;Chris Wade
Danny Roberts;Bobby Nash;Danny Roberts
Jack Marshman;Ryan Janes;Jack Marshman
Joanne Calderwood;Cynthia Calvillo;Cynthia Calvillo
James Mulheron;Justin Willis;Justin Willis
Alexandre Pantoja;Neil Seery;Alexandre Pantoja
Gunnar Nelson;Santiago Ponzinibbio;Santiago Ponzinibbio
Khalil Rountree Jr.;Paul Craig;Khalil Rountree Jr.
Stevie Ray;Paul Felder;Paul Felder
Brett Johns;Albert Morales;Brett Johns
Charlie Ward;Galore Bofando;Galore Bofando
Danny Henry;Daniel Teymur;Danny Henry
Leslie Smith;Amanda Lemos;Leslie Smith
Daniel Omielanczuk;Curtis Blaydes;Curtis Blaydes
Thiago Santos;Gerald Meerschaert;Thiago Santos
Anthony Pettis;Jim Miller;Anthony Pettis
Chad Laprise;Brian Camozzi;Chad Laprise
Fabricio Werdum;Alistair Overeem;Alistair Overeem
Travis Browne;Aleksei Oleinik;Aleksei Oleinik
Yoel Romero;Robert Whittaker;Robert Whittaker
Rob Font;Douglas Silva de Andrade;Rob Font
Cody Stamann;Terrion Ware;Cody Stamann
Jordan Mein;Belal Muhammad;Belal Muhammad
Trevin Giles;James Bochnovic;Trevin Giles
Marc Diakiese;Drakkar Klose;Drakkar Klose
Jared Cannonier;Nick Roehrick;Jared Cannonier
Dhiego Lima;Jesse Taylor;Jesse Taylor
James Krause;Tom Gallicchio;James Krause
Michael Johnson;Justin Gaethje;Justin Gaethje
Jordan Johnson;Marcel Fortuna;Jordan Johnson
Angela Hill;Ashley Yoder;Angela Hill
Brad Tavares;Elias Theodorou;Brad Tavares
Tecia Torres;Juliana Lima;Tecia Torres
Gray Maynard;Teruto Ishihara;Gray Maynard
Ed Herman;CB Dollaway;CB Dollaway
Michael Chiesa;Kevin Lee;Kevin Lee
Vitor Miranda;Marvin Vettori;Marvin Vettori
BJ Penn;Dennis Siver;Dennis Siver
Tim Means;Alex Garcia;Tim Means
Tim Boetsch;Johny Hendricks;Tim Boetsch
Clay Guida;Erik Koch;Clay Guida
Felice Herrig;Justine Kish;Felice Herrig
Joachim Christensen;Dominick Reyes;Dominick Reyes
Josh Stansbury;Jeremy Kimball;Jeremy Kimball
Devin Powell;Darrell Horcher;Darrell Horcher
Jared Gordon;Michel Quinones;Jared Gordon
Anthony Rocco Martin;Johnny Case;Anthony Rocco Martin
Carla Esparza;Maryna Moroz;Carla Esparza
Alex Caceres;Rolando Dy;Alex Caceres
Cyril Asker;Walt Harris;Walt Harris
Takanori Gomi;Jon Tuck;Jon Tuck
Justin Scoggins;Yuta Sasaki;Yuta Sasaki
Dong Hyun Kim;Colby Covington;Colby Covington
Tarec Saffiedine;Rafael Dos Anjos;Rafael Dos Anjos
Andrei Arlovski;Marcin Tybura;Marcin Tybura
Holly Holm;Bethe Correia;Holly Holm
Naoki Inoue;Carls John De Tomas;Naoki Inoue
Li Jingliang;Frank Camacho;Li Jingliang
Kwan Ho Kwak;Russell Doane;Russell Doane
Ji Yeon Kim;Lucie Pudilova;Lucie Pudilova
Ion Cutelaba;Henrique da Silva;Ion Cutelaba
Alexander Volkanovski;Mizuto Hirota;Alexander Volkanovski
Derek Brunson;Daniel Kelly;Derek Brunson
Luke Jumeau;Dominique Steele;Luke Jumeau
Tim Elliott;Ben Nguyen;Ben Nguyen
Derrick Lewis;Mark Hunt;Mark Hunt
Damien Brown;Vinc Pichel;Vinc Pichel
Dan Hooker;Ross Pearson;Dan Hooker
John Moraga;Ashkan Mokhtarian;John Moraga
Kiichi Kunimoto;Zak Ottow;Zak Ottow
JJ Aldrich;Chan-Mi Jeon;JJ Aldrich
Raphael Assuncao;Marlon Moraes;Raphael Assuncao
Paulo Costa;Oluwale Bamgbose;Paulo Costa
Jose Aldo;Max Holloway;Max Holloway
Vitor Belfort;Nate Marquardt;Vitor Belfort
Antonio Carlos Junior;Eric Spicely;Antonio Carlos Junior
Johnny Eduardo;Matthew Lopez;Matthew Lopez
Erick Silva;Yancy Medeiros;Yancy Medeiros
Claudia Gadelha;Karolina Kowalkiewicz;Claudia Gadelha
Viviane Pereira;Jamie Moyle;Viviane Pereira
Iuri Alcantara;Brian Kelleher;Brian Kelleher
Marco Beltran;Deiveson Figueiredo;Deiveson Figueiredo
Luan Chagas;Jim Wallhead;Luan Chagas
Pedro Munhoz;Damian Stasiak;Pedro Munhoz
Abdul Razak Alhassan;Omari Akhmedov;Omari Akhmedov
Volkan Oezdemir;Misha Cirkunov;Volkan Oezdemir
Oliver Enkamp;Nordine Taleb;Nordine Taleb
Jack Hermansson;Alex Nicholson;Jack Hermansson
Alexander Gustafsson;Glover Teixeira;Alexander Gustafsson
Trevor Smith;Chris Camozzi;Trevor Smith
Nicholas Musoke;Bojan Velickovic;Bojan Velickovic
Darren Till;Jessin Ayari;Darren Till
Reza Madadi;Joaquim Silva;Joaquim Silva
Peter Sobotta;Ben Saunders;Peter Sobotta
Marcin Held;Damir Hadzovic;Damir Hadzovic
Demian Maia;Jorge Masvidal;Demian Maia
Krzysztof Jotko;David Branch;David Branch
Stipe Miocic;Junior Dos Santos;Stipe Miocic
Eddie Alvarez;Dustin Poirier;
Chas Skelly;Jason Knight;Jason Knight
Chase Sherman;Rashad Coulter;Chase Sherman
Frankie Edgar;Yair Rodriguez;Frankie Edgar
Joanna Jedrzejczyk;Jessica Andrade;Joanna Jedrzejczyk
Jessica Aguilar;Cortney Casey;Cortney Casey
Joachim Christensen;Gadzhimurad Antigulov;Gadzhimurad Antigulov
James Vick;Marco Polo Reyes;James Vick
Gabriel Benitez;Enrique Barzola;Enrique Barzola
Thales Leites;Sam Alvey;Thales Leites
Dustin Ortiz;Brandon Moreno;Brandon Moreno
Cub Swanson;Artem Lobov;Cub Swanson
John Dodson;Eddie Wineland;John Dodson
